"","Property","ProductionType","Annual2017","Company.x","PropertyID","InterestPct","CompanyID","Company.y"
"1","Amandelbult Section","Total",1.4,NA,32051,100,21657,"Anglo American Platinum"
"2","Ambatovy","Refined Metal",35.48,NA,25830,44,23261,"KORES"
"3","Ambatovy","Refined Metal",35.48,NA,25830,44,27721,"Sumitomo"
"4","Ambatovy","Refined Metal",35.48,NA,25830,12,22740,"Sherritt"
"5","Ambatovy","Refined Metal",35.48,NA,58861,44,23261,"KORES"
"6","Ambatovy","Refined Metal",35.48,NA,58861,44,27721,"Sumitomo"
"7","Ambatovy","Refined Metal",35.48,NA,58861,12,22740,"Sherritt"
"8","Barro Alto","Payable In Concentrates",34.9,NA,29990,100,22978,"Anglo American"
"9","Beta Hunt","Metal In Concentrates",0.8,NA,33884,100,30149,"Royal Nickel"
"10","Cerro Matoso","Refined Metal",40.6,NA,28208,100,36944,"South32"
"11","Codemin","Metal In Concentrates",8.9,NA,29890,100,22978,"Anglo American"
"12","Codemin","Metal In Concentrates",8.9,NA,56140,100,22978,"Anglo American"
"13","Eagle","Metal In Concentrates",22.08,NA,34040,100,14303,"Lundin Mining"
"14","Flying Fox","Metal In Concentrates",10.1,NA,33703,100,23543,"Western Areas"
"15","Impala","Refined Metal",3.61,NA,29864,96,20724,"Impala Platinum Holdings"
"16","Impala","Refined Metal",3.61,NA,58283,96,20724,"Impala Platinum Holdings"
"17","Integrated Nickel Operations","Metal In ConcentratesRefined Metal",87.1,NA,57555,100,23294,"Glencore"
"18","Kevitsa","Metal In Concentrates",13.78,NA,30710,100,10553,"Boliden"
"19","Kola Division","Refined Metal",155.37,NA,28262,100,23259,"Norilsk Nickel"
"20","Koniambo","Metal In Concentrates",17.5,NA,27097,51,30978,"SMSP"
"21","Koniambo","Metal In Concentrates",17.5,NA,27097,49,23294,"Glencore"
"22","Kroondal","Total",0.6,NA,29792,50,21657,"Anglo American Platinum"
"23","Kroondal","Total",0.6,NA,29792,50,31544,"Sibanye Gold"
"24","Lac Des Iles","Payable In Concentrates",0.03,NA,14028,100,13352,"North American Palladium"
"25","Marikana","Metal In Concentrates",3.15,NA,29954,50,21657,"Anglo American Platinum"
"26","Marikana","Metal In Concentrates",3.15,NA,29954,50,31544,"Sibanye Gold"
"27","Marikana","Metal In Concentrates",3.15,NA,40551,82,20848,"Lonmin"
"28","Marula","Metal In Concentrates",0.21,NA,25111,73,20724,"Impala Platinum Holdings"
"29","Marula","Metal In Concentrates",0.21,NA,25111,9,35790,"Marula"
"30","Marula","Metal In Concentrates",0.21,NA,25111,9,27931,"Mmakau Mining"
"31","Marula","Metal In Concentrates",0.21,NA,25111,9,35789,"Tubatse Platinum"
"32","Mimosa","Metal In Concentrates",3.44,NA,30892,50,20724,"Impala Platinum Holdings"
"33","Mimosa","Metal In Concentrates",3.44,NA,30892,50,31544,"Sibanye Gold"
"34","Moa","Refined Metal",31.52,NA,27910,50,11911,"Government of Cuba"
"35","Moa","Refined Metal",31.52,NA,27910,50,22740,"Sherritt"
"36","Modikwa","Total",0.6,NA,29776,50,21657,"Anglo American Platinum"
"37","Modikwa","Total",0.6,NA,29776,41.5,22558,"African Rainbow Minerals"
"38","Modikwa","Total",0.6,NA,29776,8.5,29173,"BEE"
"39","Mogalakwena","Total",16,NA,29773,100,21657,"Anglo American Platinum"
"40","Mototolo","Total",0.4,NA,35474,50,21657,"Anglo American Platinum"
"41","Mototolo","Total",0.4,NA,35474,50,23294,"Glencore"
"42","Murrin Murrin","Refined Metal",34.1,NA,27909,100,23294,"Glencore"
"43","Ngezi","Total",5.19,NA,24246,100,23165,"Zimplats Holdings"
"44","Nickel West","Total",70.2,NA,44100,100,20229,"BHP Billiton"
"45","Nkomati","Metal In Concentrates",16.01,NA,34709,50,22558,"African Rainbow Minerals"
"46","Nkomati","Metal In Concentrates",16.01,NA,34709,50,23259,"Norilsk Nickel"
"47","Onca Puma","Finished Product",24.7,NA,30032,100,20332,"Vale"
"48","Onca Puma","Finished Product",24.7,NA,60560,100,20332,"Vale"
"49","Pandora","Metal In Concentrates",0.06,NA,15558,100,20848,"Lonmin"
"50","Polar Division","Refined Metal",0,NA,57220,100,23259,"Norilsk Nickel"
"51","Ramu","Metal In Precipitates",34.67,NA,23009,51.85,25833,"China Metallurgical Construction"
"52","Ramu","Metal In Precipitates",34.67,NA,23009,11.05,28620,"Jilin Jien Nickel"
"53","Ramu","Metal In Precipitates",34.67,NA,23009,11.05,25602,"Jinchuan Group International"
"54","Ramu","Metal In Precipitates",34.67,NA,23009,11.05,33641,"Jiuquan Iron & Steel (JISCO)"
"55","Ramu","Metal In Precipitates",34.67,NA,23009,8.56,22363,"Highlands Pacific"
"56","Ramu","Metal In Precipitates",34.67,NA,23009,3.94,33637,"MRRL"
"57","Ramu","Metal In Precipitates",34.67,NA,23009,2.5,28949,"MRML"
"58","Ravensthorpe","Metal In Concentrates",17.84,NA,29738,100,11580,"First Quantum Minerals"
"59","Sorowako","Metal In Matte",78.3,NA,16719,59.3,20332,"Vale"
"60","Sorowako","Metal In Matte",78.3,NA,16719,20.5,27721,"Sumitomo"
"61","Sorowako","Metal In Matte",78.3,NA,16719,20.2,14431,"Sumitomo Metal Mining"
"62","Sorowako","Metal In Matte",78.3,NA,57936,59.2,20332,"Vale"
"63","Sorowako","Metal In Matte",78.3,NA,57936,20.2,14431,"Sumitomo Metal Mining"
"64","Sorowako","Metal In Matte",78.3,NA,57936,0.1,27721,"Sumitomo"
"65","Spotted Quoll","Metal In Concentrates",14.5,NA,50757,100,23543,"Western Areas"
"66","Sudbury","Refined Metal",62,NA,48889,100,20332,"Vale"
"67","Sudbury","Refined Metal",62,NA,57990,100,23294,"Glencore"
"68","Talvivaara Sotkamo","Metal In Matte",20.86,NA,47248,100,39080,"Terrafame"
"69","Thompson Operations","Refined Metal",23.1,NA,17209,100,20332,"Vale"
"70","Two Rivers","Metal In Concentrates",0.6,NA,29760,51,22558,"African Rainbow Minerals"
"71","Two Rivers","Metal In Concentrates",0.6,NA,29760,49,20724,"Impala Platinum Holdings"
"72","Union Section","Total",0.3,NA,32050,85,21657,"Anglo American Platinum"
"73","Unki","Total",2.2,NA,52918,100,21657,"Anglo American Platinum"
"74","VNC-Goro","Refined Metal",36.3,NA,12795,95,20332,"Vale"
"75","VNC-Goro","Refined Metal",36.3,NA,12795,5,30227,"SPMSC"
"76","Voisey's Bay","Metal In Concentrates",51.8,NA,17595,100,20332,"Vale"
